epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,97.015,0.65927,0.47903,1.04875,0.99938,1,0.995,0.73592,0.87452,0.37788,1.17759,0.0002774,0.0002774,0.0002774
89,98.0938,0.69527,0.49051,1.07086,0.99914,1,0.995,0.7503,0.87165,0.37638,1.18312,0.0002576,0.0002576,0.0002576
90,99.1805,0.65988,0.47163,1.09336,0.99903,1,0.995,0.75127,0.86944,0.36846,1.17876,0.0002378,0.0002378,0.0002378
91,100.779,0.55191,0.4104,1.01299,0.98405,1,0.995,0.74694,0.87541,0.37621,1.19081,0.000218,0.000218,0.000218
92,101.87,0.57876,0.41533,1.01462,0.99894,1,0.995,0.75593,0.86681,0.39752,1.18074,0.0001982,0.0001982,0.0001982
93,102.958,0.56269,0.38044,1.00015,0.98469,1,0.99443,0.75522,0.85129,0.39812,1.16334,0.0001784,0.0001784,0.0001784
94,104.064,0.53906,0.36049,0.9779,0.98493,1,0.99471,0.77343,0.83575,0.37673,1.1427,0.0001586,0.0001586,0.0001586
95,105.144,0.52884,0.35535,0.98944,0.98503,1,0.99486,0.77167,0.83303,0.37087,1.141,0.0001388,0.0001388,0.0001388
96,106.226,0.53317,0.354,0.99336,0.98507,1,0.99486,0.76794,0.84239,0.37203,1.14341,0.000119,0.000119,0.000119
97,107.302,0.52732,0.34841,1.00577,0.98457,1,0.99486,0.77074,0.83015,0.37547,1.14351,9.92e-05,9.92e-05,9.92e-05
98,108.385,0.52611,0.34203,1.00422,0.98467,1,0.99486,0.7717,0.82052,0.37607,1.14098,7.94e-05,7.94e-05,7.94e-05
99,109.472,0.52825,0.3474,0.98929,0.98414,1,0.99486,0.77106,0.8224,0.37182,1.1438,5.96e-05,5.96e-05,5.96e-05
100,110.551,0.51628,0.32942,0.98241,1,0.99762,0.995,0.77368,0.82426,0.36511,1.14464,3.98e-05,3.98e-05,3.98e-05
