epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,118.356,0.76249,0.44719,0.01317,0.98486,1,0.99486,0.75691,0.84333,0.25288,0.01962,0.0004952,0.0004952,0.0004952
78,119.853,0.77838,0.48903,0.0125,0.99794,0.97101,0.99417,0.76706,0.81567,0.26224,0.01895,0.0004754,0.0004754,0.0004754
79,121.311,0.79428,0.53197,0.01202,0.99873,0.98551,0.99472,0.75599,0.8175,0.26055,0.01898,0.0004556,0.0004556,0.0004556
80,122.742,0.8057,0.4871,0.01326,1,0.98206,0.99458,0.76203,0.80804,0.25856,0.01827,0.0004358,0.0004358,0.0004358
81,124.213,0.80274,0.50845,0.01257,0.98525,0.96811,0.99356,0.76343,0.85165,0.27655,0.01958,0.000416,0.000416,0.000416
82,125.652,0.77383,0.47669,0.01177,0.9832,0.95652,0.99289,0.76476,0.85083,0.29314,0.0199,0.0003962,0.0003962,0.0003962
83,127.245,0.7796,0.45101,0.01252,0.98494,0.98551,0.99444,0.76851,0.80443,0.25576,0.0185,0.0003764,0.0003764,0.0003764
84,128.718,0.72856,0.45708,0.01128,0.97182,1,0.99359,0.76118,0.80409,0.26066,0.01856,0.0003566,0.0003566,0.0003566
85,130.167,0.76051,0.49727,0.0125,0.95478,0.98551,0.99263,0.7674,0.80003,0.28426,0.01835,0.0003368,0.0003368,0.0003368
86,131.636,0.71653,0.46568,0.01121,0.94,0.98551,0.99072,0.75236,0.82934,0.29428,0.01897,0.000317,0.000317,0.000317
87,133.108,0.72079,0.47241,0.01149,0.97179,0.9984,0.99355,0.76045,0.82232,0.3053,0.01896,0.0002972,0.0002972,0.0002972
88,134.561,0.71758,0.45214,0.01081,0.98547,0.9828,0.994,0.76574,0.82184,0.26878,0.0192,0.0002774,0.0002774,0.0002774
89,136.019,0.74192,0.46804,0.01172,0.98571,0.9998,0.99471,0.76334,0.83176,0.25575,0.01955,0.0002576,0.0002576,0.0002576
90,137.463,0.7229,0.45412,0.01226,1,0.96977,0.99431,0.76127,0.82231,0.26086,0.0193,0.0002378,0.0002378,0.0002378
91,139.52,0.57143,0.34257,0.01263,0.95994,0.98551,0.99386,0.75787,0.82226,0.28296,0.01925,0.000218,0.000218,0.000218
92,140.966,0.61838,0.31196,0.01342,0.9712,0.97752,0.99236,0.74364,0.85617,0.29582,0.0198,0.0001982,0.0001982,0.0001982
93,142.41,0.58686,0.34272,0.01284,0.95409,1,0.9933,0.74832,0.84984,0.26783,0.01962,0.0001784,0.0001784,0.0001784
94,143.998,0.55087,0.28337,0.01136,0.96827,0.98551,0.99373,0.75682,0.82666,0.2696,0.01934,0.0001586,0.0001586,0.0001586
95,145.439,0.54834,0.27696,0.0116,0.95994,0.98551,0.99358,0.76534,0.81435,0.27291,0.01883,0.0001388,0.0001388,0.0001388
96,146.874,0.56299,0.2814,0.01224,0.94467,0.9898,0.99304,0.75979,0.81358,0.28611,0.01888,0.000119,0.000119,0.000119
97,148.34,0.56874,0.26303,0.01249,0.96851,0.98551,0.99358,0.76593,0.81748,0.26925,0.01905,9.92e-05,9.92e-05,9.92e-05
98,149.775,0.55968,0.27492,0.01261,0.98533,0.97356,0.99431,0.76871,0.81064,0.2634,0.01876,7.94e-05,7.94e-05,7.94e-05
99,151.223,0.55575,0.26155,0.01169,0.9992,1,0.995,0.77015,0.80577,0.25081,0.01847,5.96e-05,5.96e-05,5.96e-05
100,152.666,0.55232,0.25073,0.01207,0.97139,0.98426,0.9943,0.76879,0.79765,0.26939,0.01826,3.98e-05,3.98e-05,3.98e-05
